upstream_row,upstream_col,downstream_row,downstream_col,contribution,slope
80,33,79,34,1,
93,30,94,31,1,
92,33,93,34,1,0.14867795707887707
81,35,80,36,1,0.08324319575275105
87,36,88,37,1,0.14350257982061085
88,36,89,37,1,0.14068514663515008
86,36,87,37,1,0.13948432642766107
80,34,79,35,1,0.07686926840237412
85,36,84,37,1,0.12274234454773965
84,36,83,37,1,0.11566031768789108
93,31,94,32,1,0.17276294963837294
89,36,90,37,1,0.1663744641446033
83,36,82,37,1,0.11032260451526903
91,35,92,36,1,0.15948117978571952
82,36,82,37,1,0.1212640313028538
92,34,93,35,1,0.15853113693705692
80,35,79,36,1,0.08387764608550172
93,32,94,33,1,0.1584007572575706
81,36,80,37,1,0.1018959817477833
79,34,78,35,1,
90,36,91,37,1,0.21004011324711377
80,36,79,37,1,0.09016481816031591
79,35,78,36,1,0.08534920954352565
92,35,93,36,1,0.20367090395548523
93,33,94,34,1,0.18721994635060124
85,37,86,38,1,0.15770494356172687
86,37,87,38,1,0.16726020642518974
84,37,85,38,1,0.14344813778279902
87,37,88,38,1,0.19093240288222754
83,37,84,38,1,0.13487670888218112
88,37,89,38,1,0.21060959082295305
79,36,78,37,1,0.08536330699863534
81,37,81,38,1,0.11162771612498658
78,35,77,36,1,
82,37,83,38,1,0.1262287509204597
80,37,79,38,1,0.08933583346103537
94,31,95,32,1,
91,36,92,37,1,0.23076864170420427
93,34,94,35,1,0.21484578055809364
94,32,95,33,1,0.2108729130491364
79,37,78,38,1,0.08159913567093012
89,37,90,38,1,0.23371292069821198
78,36,77,37,1,0.07580654450917297
78,37,77,38,1,0.07874450724988752
80,38,81,39,1,0.10969161503088191
82,38,83,39,1,0.11861570200655425
81,38,81,39,1,0.12892132475879675
77,36,76,37,1,
83,38,84,39,1,0.1414488758798726
84,38,85,39,1,0.16195098268506164
79,38,78,39,1,0.09473501959143674
93,35,94,36,1,0.28985165873762647
85,38,86,39,1,0.18115136706662177
92,36,93,37,1,0.30694874397788907
94,33,95,34,1,0.2381788744425681
77,37,76,38,1,0.07991929987238833
90,37,91,38,1,0.2949957087285991
86,38,87,39,1,0.18709291757069021
78,38,77,39,1,0.08879737737241003
87,38,88,39,1,0.23618045956038528
76,37,75,38,1,
77,38,76,39,1,0.0843667826580554
79,39,79,40,1,0.12694113443676971
88,38,89,39,1,0.25696967417856853
80,39,79,40,1,0.13257253822920095
94,34,95,35,1,0.3120038276743092
82,39,83,40,1,0.14581147328448396
91,37,92,38,1,0.41941938481671504
78,39,77,40,1,0.10745474854226397
81,39,82,40,1,0.13159129360293825
83,39,84,40,1,0.15356971298088526
76,38,75,39,1,0.08823191210373091
89,38,90,39,1,0.3533124589785269
95,32,96,33,1,
84,39,85,40,1,0.16949482740226443
77,39,76,40,1,0.10330976065457222
93,36,94,37,1,0.4539970952329485
85,39,86,40,1,0.19608345042684677
86,39,87,40,1,0.23654626175874457
75,38,74,39,1,
76,39,75,40,1,0.1042383181389809
80,40,81,41,1,0.14977836110231887
81,40,82,41,1,0.1454394690774161
95,33,96,34,1,0.32624278211510893
78,40,77,41,1,0.12435476186367772
79,40,80,41,1,0.14681369162654853
82,40,83,41,1,0.16339702710922988
77,40,76,41,1,0.12345062956365807
75,39,74,40,1,0.10451333968257007
83,40,84,41,1,0.1747426523385862
87,39,88,40,1,0.2885090259230639
76,40,75,41,1,0.1303451499770609
84,40,85,41,1,0.19453583392617724
94,35,95,36,1,0.4181727574605717
90,38,91,39,1,0.5296208457605617
74,39,73,40,1,
92,37,93,38,1,0.5555766987044176
88,39,89,40,1,0.3974332833803908
75,40,74,41,1,0.14153915727025462
78,41,77,42,1,0.15315088426153986
79,41,78,42,1,0.1512383290600208
80,41,81,42,1,0.15947457074115834
85,40,86,41,1,0.22551567589414268
77,41,76,42,1,0.1593807354998303
81,41,81,42,1,0.17218788519161118
82,41,83,42,1,0.15984160862441046
95,34,96,35,1,0.4015901584901188
74,40,73,41,1,0.148448936435935
76,41,75,42,1,0.16703829683657623
83,41,84,42,1,0.18517690278811966
86,40,87,41,1,0.27938173847117914
75,41,74,42,1,0.167046864381263
84,41,85,42,1,0.22431435179278172
73,40,72,41,1,
80,42,81,43,1,0.1786896511856451
79,42,80,43,1,0.17623607312676384
78,42,79,43,1,0.18178956480722033
77,42,76,43,1,0.17058521506997526
82,42,83,43,1,0.15583714933799608
81,42,81,43,1,0.17380527059458356
74,41,73,42,1,0.16242519505774067
89,39,90,40,1,0.5424286732123323
94,36,95,37,1,0.548534174297351
96,33,97,34,1,
85,41,86,42,1,0.25535683435267864
87,40,88,41,1,0.35421597405910005
76,42,75,43,1,0.1793553444534697
83,42,84,43,1,0.22992740229444794
91,38,92,39,1,0.6121837987156246
73,41,72,42,1,0.17915663701789483
75,42,74,43,1,0.19237045141872705
95,35,96,36,1,0.43717370856329135
93,37,94,38,1,0.6288919943103058
86,41,87,42,1,0.35304064471037505
78,43,77,44,1,0.17951141130987391
74,42,73,43,1,0.20791259314460367
77,43,76,44,1,0.18908140880039756
79,43,80,44,1,0.18201658474803165
82,43,83,44,1,0.3522096565094588
84,42,85,43,1,0.3216827923405425
80,43,81,44,1,0.20131350191516761
81,43,82,44,1,0.25147667845867
