upstream_row,upstream_col,downstream_row,downstream_col,contribution,slope
85,33,85,34,0.3663669318541638,0.11319580078125
85,33,86,34,0.21925020305849133,0.06774138206484405
88,33,87,34,0.2102546856484089,0.06505693127200939
88,33,88,34,0.34129386190758604,0.10560302734375
88,33,89,33,0.13445029261138056,0.0416015625
88,33,89,34,0.31400115983262444,0.09715812901655003
90,32,89,33,0.046507707922292606,0.015554277584206038
90,32,90,33,0.21467093550647826,0.071795654296875
90,32,91,31,0.05031452641204741,0.016827449584023123
90,32,91,32,0.2977982084157708,0.09959716796875
90,32,91,33,0.390708621743411,0.13067060555410825
84,33,83,33,0.17484169097266036,0.054595947265625
84,33,83,34,0.3428379477568137,0.10705434391682318
84,33,84,34,0.306153762515906,0.095599365234375
84,33,85,34,0.17616659875461993,0.05500966206667318
89,33,88,34,0.14715940417288773,0.045255869796888046
89,33,89,34,0.3115172893885376,0.09580078125
89,33,90,33,0.16193103746948767,0.049798583984375
89,33,90,34,0.379392268969087,0.11667434523069534
91,31,91,32,0.15663675817191236,0.075799560546875
91,31,92,30,0.15108839360255433,0.07311459948780091
91,31,92,31,0.3450952846720101,0.166998291015625
91,31,92,32,0.3471795635535231,0.16800691392840528
83,33,82,32,0.059162239997357646,0.017535246899175676
83,33,82,33,0.20244659678000204,0.060003662109375
83,33,82,34,0.3139690422896937,0.09305808359341027
83,33,83,34,0.3265998397854575,0.0968017578125
83,33,84,34,0.0978222811474892,0.028993794897529457
90,33,89,34,0.07813761001505147,0.03252846563600469
90,33,90,34,0.27673466631319726,0.115203857421875
90,33,91,32,0.04722261027180038,0.019658638844633324
90,33,91,33,0.2714418867349687,0.11300048828125
90,33,91,34,0.3264632266649822,0.13590571618386463
87,34,86,34,0.005722236914696978,0.001800537109375
87,34,86,35,0.26742167985836435,0.08414587959469065
87,34,87,35,0.36228548764676427,0.113995361328125
87,34,88,34,0.0432174367659148,0.0135986328125
87,34,88,35,0.3213531588142596,0.10111575180920179
86,34,85,34,0.054943571914117084,0.01739501953125
86,34,85,35,0.32428974724289816,0.10266945323270739
86,34,86,35,0.37018472557714954,0.11719970703125
86,34,87,35,0.2505819552658352,0.07933372101911082
92,29,92,30,0.2098919617280003,0.041400146484375
92,29,93,30,0.7901080382719996,0.15584488445218647
88,34,87,35,0.20540762028798812,0.07099120754234325
88,34,88,35,0.3744108231305737,0.129400634765625
88,34,89,34,0.09200888583134235,0.03179931640625
88,34,89,35,0.32817267075009593,0.11342020391590862
85,34,84,34,0.05515314398105607,0.017803955078125
85,34,84,35,0.33032303679123404,0.10663139186264667
85,34,85,35,0.39590390189212654,0.127801513671875
85,34,86,35,0.21861991733558336,0.07057257132545425
82,32,81,32,0.3850302693554472,0.072601318359375
82,32,81,33,0.4282648467738322,0.08075363148670343
82,32,82,33,0.18670488387072043,0.035205078125
91,32,91,33,0.184374095379266,0.085198974609375
91,32,92,31,0.1395530489810431,0.06448724075005732
91,32,92,32,0.3501377530201993,0.161798095703125
91,32,92,33,0.32593510261949155,0.15061408965971762
84,34,83,34,0.14750003919222232,0.05579833984375
84,34,83,35,0.2953254454939517,0.1117197640246275
84,34,84,35,0.3515670371908252,0.13299560546875
84,34,85,35,0.20560747812300076,0.07778001959560522
89,34,88,35,0.18036352467146263,0.06901455406466114
89,34,89,35,0.3360877040645412,0.12860107421875
89,34,90,34,0.18085251014161213,0.06920166015625
89,34,90,35,0.302696261122384,0.11582412528505479
92,30,92,31,0.16035851761947828,0.0635986328125
92,30,93,30,0.4513276627856468,0.178997802734375
92,30,93,31,0.38831381959487493,0.15400633776770484
82,33,81,32,0.08849659083367772,0.02644313506060777
82,33,81,33,0.2643800067321854,0.078997802734375
82,33,81,34,0.3204191890083738,0.09574253438624493
82,33,82,34,0.23962310584681043,0.071600341796875
82,33,83,34,0.08708110757895265,0.026020183006431243
83,34,82,34,0.12779179106950134,0.03480224609375
83,34,82,35,0.2965067153044625,0.08074931564941591
83,34,83,35,0.3752623201802403,0.102197265625
83,34,84,35,0.2004391734457959,0.05458671001249666
81,32,80,33,0.6995731454128592,0.09687328375557401
81,32,81,33,0.3004268545871407,0.0416015625
91,33,90,34,0.003964677993272101,0.001558017260793113
91,33,91,34,0.20153781833111772,0.07919921875
91,33,92,32,0.13783021832566444,0.05416375795832014
91,33,92,33,0.3252158121173917,0.127801513671875
91,33,92,34,0.331451473232554,0.13025196933721925
87,35,86,35,0.013323220229294847,0.0050048828125
87,35,86,36,0.26955375552588756,0.1012581744396898
87,35,87,36,0.37374882309081636,0.140399169921875
87,35,88,35,0.07720968601171843,0.02900390625
87,35,88,36,0.26616451514228273,0.09998500243987271
90,34,89,35,0.12540235172438685,0.04200172848210132
90,34,90,35,0.2824374338271812,0.094598388671875
90,34,91,34,0.22988245872184593,0.076995849609375
